solver,time (seconds),memory_usage (MB),peak_memory_usage (MB),status,num_vars,num_clauses,satisfied_clauses,satisfaction_ratio,solved,time_budget,threads_used,cnf_file,satisfied_clauses_mean,satisfied_clauses_stdev,time (seconds)__median,time (seconds)__stdev,memory_usage (MB)__median,memory_usage (MB)__stdev,peak_memory_usage (MB)__median,peak_memory_usage (MB)__stdev,satisfaction_ratio__median,satisfaction_ratio__stdev,repetitions
CP-SAT-MAXSAT,31.133222324994858,4299.765625,7438.353125,UNKNOWN,16788,9021307,6220426,0.7219183428742643,False,1.0,4,vlsat2_16788_9021307.cnf,6512647.0,1243177.4929757616,30.830761999997776,3.387919238219252,4447.453125,355.6202712778758,7318.90625,705.8809794182672,0.6895260298757153,0.1378045878469452,5
Gurobi-MAXSAT,3.969850383407902,5041.40625,7959.203125,FEASIBLE,16788,9021307,9019908,0.9998449226924656,False,1.0,4,vlsat2_16788_9021307.cnf,9019908.0,0.0,3.868040125002153,0.1720496694534216,4997.734375,692.9441830834145,8134.96875,763.8405493869092,0.9998449226924656,0.0,5
CP-SAT-MAXSAT,2.670881700201426,2882.996875,3783.4375,UNKNOWN,17688,1741702,1259600,0.7510308881771968,False,1.0,4,vlsat2_17688_1741702.cnf,1308072.0,281361.6775815427,2.6749969579977915,0.0225044881330735,2883.84375,2.8044894602783765,3784.03125,3.303810093333529,0.7232006393745888,0.1615440974297226,5
Gurobi-MAXSAT,1.4834788417909297,2056.096875,2637.53125,FEASIBLE,17688,1741702,1741300,0.999769191285306,False,1.0,4,vlsat2_17688_1741702.cnf,1741300.0,0.0,1.4830420829821378,0.0037928937291874,2056.21875,1.3257515557222628,2637.78125,1.918155699900949,0.999769191285306,0.0,5
CP-SAT-MAXSAT,4.868614100012929,4473.24375,6045.0875,UNKNOWN,18250,2995915,2297258,0.7378474355914637,False,1.0,4,vlsat2_18250_2995915.cnf,2210528.2,654063.8686651328,4.850289250025526,0.0522352525403169,4688.6875,611.7705246887347,6233.09375,395.4684994504837,0.7667967882933928,0.2183185666699932,5
Gurobi-MAXSAT,1.7608702833997083,3299.9,4108.56875,FEASIBLE,18250,2995915,2995550,0.9998781674379948,False,1.0,4,vlsat2_18250_2995915.cnf,2995550.0,0.0,1.763777750020381,0.0093727647357139,3299.65625,1.1690904417270291,4108.921875,2.011672481264035,0.9998781674379948,0.0,5
CP-SAT-MAXSAT,6.219939824810718,4227.646875,6412.8875,UNKNOWN,19565,3665001,2614171,0.6854330462665631,False,1.0,4,vlsat2_19565_3665001.cnf,2512112.8,694951.2075143837,6.153929833031725,0.1527967552306512,3905.71875,801.3395014943875,6316.265625,398.4953723902026,0.7132797508104364,0.1896182859198084,5
Gurobi-MAXSAT,1.8121008831891232,3969.46875,4907.6,FEASIBLE,19565,3665001,3664546,0.999875852694174,False,1.0,4,vlsat2_19565_3665001.cnf,3664546.0,0.0,1.8084905000287108,0.0127668370681692,3966.875,5.768313228319003,4906.28125,3.924249156884983,0.999875852694174,0.0,5
CP-SAT-MAXSAT,3.4247967084054833,3915.1625,4654.9,UNKNOWN,20424,2157568,1580450,0.7544919094091125,False,1.0,4,vlsat2_20424_2157568.cnf,1627867.6,232771.3222602819,3.4387795829679817,0.0609638055982469,3922.8125,18.993222603939873,4658.25,9.15294708985513,0.7325145719625059,0.1078859726600885,5
Gurobi-MAXSAT,1.501542475016322,2400.971875,3054.921875,FEASIBLE,20424,2157568,2157124,0.9997942127432368,False,1.0,4,vlsat2_20424_2157568.cnf,2157124.0,0.0,1.498202500049956,0.0062669545864132,2401.25,2.1945032983712967,3055.703125,1.89194814237534,0.9997942127432368,0.0,5
